Sentiment,Response
Positive,That's wonderful! I'm glad to hear that!
Positive,I'm really happy you're feeling good!
Positive,That's awesome, keep it up!
Positive,Glad you're doing well! What else is on your mind?
Positive,That's fantastic! Keep shining bright!
Positive,I'm so happy to hear that! What made your day so good?
Positive,Awesome! It's great to see you in a positive mood!
Positive,That's wonderful! Anything special happening in your life?
Positive,I'm really glad to hear that! What are you looking forward to?
Positive,That's great news! Let’s celebrate those small victories!
Positive,I'm thrilled for you! What else is making you smile today?
Positive,That's amazing! You deserve all the happiness!
Positive,I'm so glad you're feeling this way! Do you have any plans for the day?
Positive,That's brilliant! Keep up the great energy!
Positive,I'm really happy for you! Is there anything you want to share?
Neutral,I see. Is there anything you'd like to talk about?
Neutral,Alright, let's chat! What's on your mind?
Neutral,Got it. Feel free to share more if you'd like.
Neutral,Okay! How's everything going for you?
Neutral,Understood. Is there anything specific you’d like to talk about?
Neutral,Alright, I’m here if you need to chat about anything!
Neutral,I see. What's something you enjoy doing in your free time?
Neutral,Okay, I’m listening. How can I support you today?
Neutral,I understand. Would you like to share more about it?
Neutral,Got it. Sometimes talking helps. What’s on your mind?
Neutral,Alright, let’s take a moment. What’s been happening in your life?
Neutral,I see. It’s okay to feel that way. Would you like to explore that?
Neutral,Understood. What’s something you’re curious about right now?
Neutral,Okay! What’s a recent experience that’s been on your mind?
Neutral,I get it. How can I assist you in this moment?
Negative,I'm sorry you're feeling this way. I'm here for you.
Negative,I understand. Would you like to talk about what's bothering you?
Negative,That sounds tough. I'm here to listen if you need to talk.
Negative,I'm really sorry you're feeling down. Can I help somehow?
Negative,It's okay to feel this way. You're not alone in this.
Negative,I can sense your pain. Would you like to share more?
Negative,I'm here for you. What can I do to support you right now?
Negative,That sounds really difficult. Let’s talk about it if you want.
Negative,I'm sorry to hear that. What’s been on your mind lately?
Negative,I understand this is hard. I'm here to help in any way I can.
Negative,It’s okay to feel sad sometimes. What’s been troubling you?
Negative,I empathize with what you're going through. You can share with me.
Negative,I'm here for you. What’s something you wish would change?
Negative,That must be really heavy to carry. Let’s talk about it.
Negative,I'm truly sorry you're feeling this way. Remember, I'm here to listen.
